,0,1,2,3,4,5,6
4139,1.0,0.0,0.0,0.0,13-10-06,2:45,3
3629,1.0,0.0,0.0,0.0,07-10-06,19:15,123
16,0.0,0.0,1.0,0.0,01-10-06,4:00,21
1096,0.0,0.0,1.0,0.0,12-10-06,10:00,313
11546,0.0,1.0,0.0,0.0,29-10-06,6:30,22
7513,0.0,0.0,0.0,1.0,17-10-06,6:15,119
1817,0.0,0.0,1.0,0.0,19-10-06,22:15,117
7890,0.0,0.0,0.0,1.0,21-10-06,4:30,17
9016,0.0,1.0,0.0,0.0,01-10-06,22:00,42
10255,0.0,1.0,0.0,0.0,15-10-06,19:45,0
8611,0.0,0.0,0.0,1.0,28-10-06,16:45,359
4115,1.0,0.0,0.0,0.0,12-10-06,20:45,88
1669,0.0,0.0,1.0,0.0,18-10-06,9:15,358
11518,0.0,1.0,0.0,0.0,28-10-06,23:30,62
2563,0.0,0.0,1.0,0.0,27-10-06,16:45,352
2846,0.0,0.0,1.0,0.0,30-10-06,15:30,313
1652,0.0,0.0,1.0,0.0,18-10-06,5:00,18
5480,1.0,0.0,0.0,0.0,27-10-06,2:00,5
8767,0.0,0.0,0.0,1.0,30-10-06,7:45,283
1818,0.0,0.0,1.0,0.0,19-10-06,22:30,96
1753,0.0,0.0,1.0,0.0,19-10-06,6:15,162
6414,0.0,0.0,0.0,1.0,05-10-06,19:30,252
10292,0.0,1.0,0.0,0.0,16-10-06,5:00,9
1534,0.0,0.0,1.0,0.0,16-10-06,23:30,28
8082,0.0,0.0,0.0,1.0,23-10-06,4:30,15
9099,0.0,1.0,0.0,0.0,02-10-06,18:45,188
5448,1.0,0.0,0.0,0.0,26-10-06,18:00,187
8123,0.0,0.0,0.0,1.0,23-10-06,14:45,301
6104,0.0,0.0,0.0,1.0,02-10-06,14:00,229
2365,0.0,0.0,1.0,0.0,25-10-06,15:15,292
8310,0.0,0.0,0.0,1.0,25-10-06,13:30,252
8644,0.0,0.0,0.0,1.0,29-10-06,1:00,61
976,0.0,0.0,1.0,0.0,11-10-06,4:00,8
3358,1.0,0.0,0.0,0.0,04-10-06,23:30,23
10538,0.0,1.0,0.0,0.0,18-10-06,18:30,244
3514,1.0,0.0,0.0,0.0,06-10-06,14:30,132
3020,1.0,0.0,0.0,0.0,01-10-06,11:00,129
8558,0.0,0.0,0.0,1.0,28-10-06,3:30,16
4874,1.0,0.0,0.0,0.0,20-10-06,18:30,177
1643,0.0,0.0,1.0,0.0,18-10-06,2:45,11
2630,0.0,0.0,1.0,0.0,28-10-06,9:30,286
1751,0.0,0.0,1.0,0.0,19-10-06,5:45,79
9623,0.0,1.0,0.0,0.0,09-10-06,5:45,18
3601,1.0,0.0,0.0,0.0,07-10-06,12:15,179
2470,0.0,0.0,1.0,0.0,26-10-06,17:30,351
7362,0.0,0.0,0.0,1.0,15-10-06,16:30,388
4283,1.0,0.0,0.0,0.0,14-10-06,14:45,159
11690,0.0,1.0,0.0,0.0,30-10-06,18:30,330
2193,0.0,0.0,1.0,0.0,23-10-06,20:15,126
7346,0.0,0.0,0.0,1.0,15-10-06,12:30,321
4602,1.0,0.0,0.0,0.0,17-10-06,22:30,43
10071,0.0,1.0,0.0,0.0,13-10-06,21:45,76
2454,0.0,0.0,1.0,0.0,26-10-06,13:30,319
1573,0.0,0.0,1.0,0.0,17-10-06,9:15,313
3464,1.0,0.0,0.0,0.0,06-10-06,2:00,6
3481,1.0,0.0,0.0,0.0,06-10-06,6:15,106
3059,1.0,0.0,0.0,0.0,01-10-06,20:45,43
3028,1.0,0.0,0.0,0.0,01-10-06,13:00,134
2805,0.0,0.0,1.0,0.0,30-10-06,5:15,36
5112,1.0,0.0,0.0,0.0,23-10-06,6:00,53
6524,0.0,0.0,0.0,1.0,06-10-06,23:00,125
1530,0.0,0.0,1.0,0.0,16-10-06,22:30,98
10395,0.0,1.0,0.0,0.0,17-10-06,6:45,71
9134,0.0,1.0,0.0,0.0,03-10-06,3:30,5
5193,1.0,0.0,0.0,0.0,24-10-06,2:15,2
5622,1.0,0.0,0.0,0.0,28-10-06,13:30,193
4523,1.0,0.0,0.0,0.0,17-10-06,2:45,2
220,0.0,0.0,1.0,0.0,03-10-06,7:00,302
11362,0.0,1.0,0.0,0.0,27-10-06,8:30,220
2284,0.0,0.0,1.0,0.0,24-10-06,19:00,206
10673,0.0,1.0,0.0,0.0,20-10-06,4:15,7
2760,0.0,0.0,1.0,0.0,29-10-06,18:00,252
3124,1.0,0.0,0.0,0.0,02-10-06,13:00,117
8919,0.0,0.0,0.0,1.0,31-10-06,21:45,133
5201,1.0,0.0,0.0,0.0,24-10-06,4:15,9
8068,0.0,0.0,0.0,1.0,23-10-06,1:00,14
5917,1.0,0.0,0.0,0.0,31-10-06,15:15,160
11208,0.0,1.0,0.0,0.0,25-10-06,18:00,348
3932,1.0,0.0,0.0,0.0,10-10-06,23:00,25
5030,1.0,0.0,0.0,0.0,22-10-06,9:30,119
6935,0.0,0.0,0.0,1.0,11-10-06,5:45,44
4615,1.0,0.0,0.0,0.0,18-10-06,1:45,5
7367,0.0,0.0,0.0,1.0,15-10-06,17:45,331
8245,0.0,0.0,0.0,1.0,24-10-06,21:15,141
752,0.0,0.0,1.0,0.0,08-10-06,20:00,128
6829,0.0,0.0,0.0,1.0,10-10-06,3:15,2
828,0.0,0.0,1.0,0.0,09-10-06,15:00,283
4917,1.0,0.0,0.0,0.0,21-10-06,5:15,14
9898,0.0,1.0,0.0,0.0,12-10-06,2:30,7
10121,0.0,1.0,0.0,0.0,14-10-06,10:15,224
7720,0.0,0.0,0.0,1.0,19-10-06,10:00,242
6080,0.0,0.0,0.0,1.0,02-10-06,8:00,365
2587,0.0,0.0,1.0,0.0,27-10-06,22:45,110
7838,0.0,0.0,0.0,1.0,20-10-06,15:30,333
8190,0.0,0.0,0.0,1.0,24-10-06,7:30,276
11401,0.0,1.0,0.0,0.0,27-10-06,18:15,320
7053,0.0,0.0,0.0,1.0,12-10-06,11:15,271
121,0.0,0.0,1.0,0.0,02-10-06,6:15,136
4219,1.0,0.0,0.0,0.0,13-10-06,22:45,48
42,0.0,0.0,1.0,0.0,01-10-06,10:30,266
2972,0.0,0.0,1.0,0.0,31-10-06,23:00,71
812,0.0,0.0,1.0,0.0,09-10-06,11:00,288
3743,1.0,0.0,0.0,0.0,08-10-06,23:45,5
6258,0.0,0.0,0.0,1.0,04-10-06,4:30,16
6199,0.0,0.0,0.0,1.0,03-10-06,13:45,249
6070,0.0,0.0,0.0,1.0,02-10-06,5:30,22
10971,0.0,1.0,0.0,0.0,23-10-06,6:45,60
8464,0.0,0.0,0.0,1.0,27-10-06,4:00,16
6335,0.0,0.0,0.0,1.0,04-10-06,23:45,45
7196,0.0,0.0,0.0,1.0,13-10-06,23:00,136
1869,0.0,0.0,1.0,0.0,20-10-06,11:15,305
11704,0.0,1.0,0.0,0.0,30-10-06,22:00,64
8633,0.0,0.0,0.0,1.0,28-10-06,22:15,127
9431,0.0,1.0,0.0,0.0,07-10-06,5:45,15
5415,1.0,0.0,0.0,0.0,26-10-06,9:45,168
39,0.0,0.0,1.0,0.0,01-10-06,9:45,229
6946,0.0,0.0,0.0,1.0,11-10-06,8:30,354
4350,1.0,0.0,0.0,0.0,15-10-06,7:30,33
6906,0.0,0.0,0.0,1.0,10-10-06,22:30,108
9857,0.0,1.0,0.0,0.0,11-10-06,16:15,301
10830,0.0,1.0,0.0,0.0,21-10-06,19:30,96
6146,0.0,0.0,0.0,1.0,03-10-06,0:30,16
9852,0.0,1.0,0.0,0.0,11-10-06,15:00,179
1363,0.0,0.0,1.0,0.0,15-10-06,4:45,11
126,0.0,0.0,1.0,0.0,02-10-06,7:30,355
1842,0.0,0.0,1.0,0.0,20-10-06,4:30,17
8674,0.0,0.0,0.0,1.0,29-10-06,8:30,82
125,0.0,0.0,1.0,0.0,02-10-06,7:15,366
10644,0.0,1.0,0.0,0.0,19-10-06,21:00,98
4392,1.0,0.0,0.0,0.0,15-10-06,18:00,132
9700,0.0,1.0,0.0,0.0,10-10-06,1:00,15
8732,0.0,0.0,0.0,1.0,29-10-06,23:00,63
9360,0.0,1.0,0.0,0.0,06-10-06,12:00,120
10161,0.0,1.0,0.0,0.0,14-10-06,20:15,71
5076,1.0,0.0,0.0,0.0,22-10-06,21:00,57
3081,1.0,0.0,0.0,0.0,02-10-06,2:15,2
8620,0.0,0.0,0.0,1.0,28-10-06,19:00,284
8392,0.0,0.0,0.0,1.0,26-10-06,10:00,216
7375,0.0,0.0,0.0,1.0,15-10-06,19:45,162
7249,0.0,0.0,0.0,1.0,14-10-06,12:15,332
6266,0.0,0.0,0.0,1.0,04-10-06,6:30,157
7790,0.0,0.0,0.0,1.0,20-10-06,3:30,7
11180,0.0,1.0,0.0,0.0,25-10-06,11:00,155
11485,0.0,1.0,0.0,0.0,28-10-06,15:15,151
2402,0.0,0.0,1.0,0.0,26-10-06,0:30,22
2030,0.0,0.0,1.0,0.0,22-10-06,3:30,26
8607,0.0,0.0,0.0,1.0,28-10-06,15:45,394
7103,0.0,0.0,0.0,1.0,12-10-06,23:45,51
2043,0.0,0.0,1.0,0.0,22-10-06,6:45,66
9732,0.0,1.0,0.0,0.0,10-10-06,9:00,177
